"reg","dis","con","ccm_leg10","split_leg10"
"KAGERA","WILAYA YA NGARA","NGARA",1,49.6
"KIGOMA","MANISPAA YA KIGOMA/UJIJI","KIGOMA MJINI",1,14.4
"KIGOMA","WILAYA YA KASULU","KASULU MAGHARIBI",1,30.8
"KIGOMA","WILAYA YA KASULU","KASULU MASHARIKI",1,17.7
"KIGOMA","WILAYA YA KIBONDO","BUYUNGU",1,63.4
"KIGOMA","WILAYA YA KIBONDO","MUHAMBWE",1,65.7
"KIGOMA","WILAYA YA KIGOMA","KIGOMA KASKAZINI",0,11.5
"KIGOMA","WILAYA YA KIGOMA","KIGOMA KUSINI",1,23.1
"KILIMANJARO","MANISPAA YA MOSHI","MOSHI MJINI",0,14.6
"KILIMANJARO","WILAYA YA HAI","HAI",1,19.8
"KILIMANJARO","WILAYA YA HAI","SIHA",1,68.6
"KILIMANJARO","WILAYA YA MOSHI","MOSHI VIJIJINI",1,45.1
"KILIMANJARO","WILAYA YA MOSHI","VUNJO",1,12.6
"KILIMANJARO","WILAYA YA MWANGA","MWANGA",1,61.6
"KILIMANJARO","WILAYA YA ROMBO","ROMBO",1,62.9
"KILIMANJARO","WILAYA YA SAME","SAME MAGHARIBI",1,84.7
"KILIMANJARO","WILAYA YA SAME","SAME MASHARIKI",1,25.7
"LINDI","MJI WA LINDI","LINDI MJINI",1,19.4
"LINDI","WILAYA YA KILWA","KILWA KASKAZINI",1,30.2
"LINDI","WILAYA YA KILWA","KILWA KUSINI",1,15.3
"LINDI","WILAYA YA LINDI","MCHINGA",1,16.8
"LINDI","WILAYA YA LINDI","MTAMA",1,59.8
"LINDI","WILAYA YA LIWALE","LIWALE",1,14.8
"LINDI","WILAYA YA NACHINGWEA","NACHINGWEA",1,74.5
"LINDI","WILAYA YA RUANGWA","RUANGWA",1,63.8
"MANYARA","MJI WA BABATI","BABATI MJINI",1,62.4
"MANYARA","WILAYA YA BABATI","BABATI  VIJIJINI",1,27.8
"MANYARA","WILAYA YA HANANG","HANANG",1,82.3
"MANYARA","WILAYA YA KITETO","KITETO",1,14.6
"MANYARA","WILAYA YA MBULU","MBULU",1,37.7
"MANYARA","WILAYA YA SIMANJIRO","SIMANJIRO",1,55
"MARA","MANISPAA YA MUSOMA","MUSOMA MJINI",1,12.5
"MARA","WILAYA YA BUNDA","MWIBARA",1,9
"MARA","WILAYA YA SERENGETI","SERENGETI",1,20.8
"MARA","WILAYA YA TARIME","RORYA",1,59.9
"MARA","WILAYA YA TARIME","TARIME",0,29.4
"MBEYA","JIJI LA MBEYA","MBEYA MJINI",1,55.9
"MBEYA","WILAYA YA ILEJE","ILEJE",1,45
"MBEYA","WILAYA YA KYELA","KYELA",1,88.7
"MBEYA","WILAYA YA MBARALI","MBARALI",1,60.9
"MBEYA","WILAYA YA MBEYA","MBEYA VIJIJINI",1,71.4
"MBEYA","WILAYA YA MBOZI","MBOZI MAGHARIBI",1,83.5
"MBEYA","WILAYA YA MBOZI","MBOZI MASHARIKI",1,84.1
"MBEYA","WILAYA YA RUNGWE","RUNGWE MAGHARIBI",1,44.3
"MOROGORO","MANISPAA YA MOROGORO","MOROGORO MJINI",1,37.1
"MOROGORO","WILAYA YA KILOMBERO","KILOMBERO",1,58.1
"MOROGORO","WILAYA YA KILOSA","GAIRO",1,95.1
"MOROGORO","WILAYA YA KILOSA","KILOSA",1,67.5
"MOROGORO","WILAYA YA KILOSA","MIKUMI",1,39.7
"MOROGORO","WILAYA YA MOROGORO","MOROGORO KUSINI",1,77
"MOROGORO","WILAYA YA MOROGORO","MOROGORO KUSINI MASHARIKI",1,63.3
"MOROGORO","WILAYA YA MVOMERO","MVOMERO",1,77.5
"MOROGORO","WILAYA YA ULANGA","ULANGA MAGHARIBI",1,9
"MOROGORO","WILAYA YA ULANGA","ULANGA MASHARIKI",1,69.6
"MTWARA","MANISPAA YA MTWARA MIKINDANI","MTWARA MJINI",1,31.7
"MTWARA","WILAYA YA MASASI","LULINDI",1,73.7
"MTWARA","WILAYA YA MASASI","MASASI",1,64.6
"MTWARA","WILAYA YA MASASI","NANYUMBU",1,62.9
"MTWARA","WILAYA YA MTWARA","MTWARA VIJIJINI",1,56
"MTWARA","WILAYA YA NEWALA","NEWALA",1,62.5
"MTWARA","WILAYA YA TANDAHIMBA","TANDAHIMBA",1,47.1
"MWANZA","JIJI LA MWANZA","ILEMELA",1,61.8
"MWANZA","JIJI LA MWANZA","NYAMAGANA",1,53.5
"MWANZA","WILAYA YA GEITA","BUSANDA",1,62.4
"MWANZA","WILAYA YA GEITA","GEITA",1,15
"MWANZA","WILAYA YA GEITA","NYANG'HWALE",1,21.2
"MWANZA","WILAYA YA KWIMBA","KWIMBA",1,61.3
"MWANZA","WILAYA YA KWIMBA","SUMVE",1,25.3
"MWANZA","WILAYA YA MAGU","BUSEGA",1,48.9
"MWANZA","WILAYA YA MAGU","MAGU MJINI",1,44.9
"MWANZA","WILAYA YA MISUNGWI","MISUNGWI",1,69
"MWANZA","WILAYA YA SENGEREMA","BUCHOSA",1,14
"MWANZA","WILAYA YA SENGEREMA","SENGEREMA",1,47.2
"MWANZA","WILAYA YA UKEREWE","UKEREWE",1,10.4
"PWANI","MJI WA KIBAHA","KIBAHA MJINI",1,26.2
"PWANI","WILAYA YA BAGAMOYO","BAGAMOYO",1,65.5
"PWANI","WILAYA YA BAGAMOYO","CHALINZE",1,72.8
"PWANI","WILAYA YA KIBAHA","KIBAHA VIJIJINI",1,43.9
"PWANI","WILAYA YA KISARAWE","KISARAWE",1,34.1
"PWANI","WILAYA YA MAFIA","MAFIA",1,17.7
"PWANI","WILAYA YA MKURANGA","MKURANGA",1,29.2
"PWANI","WILAYA YA RUFIJI","KIBITI",1,13.1
"PWANI","WILAYA YA RUFIJI","RUFIJI",1,15.1
"RUKWA","MANISPAA YA SUMBAWANGA","SUMBAWANGA MJINI",1,78.7
"RUKWA","WILAYA YA MPANDA","MPANDA KATI",0,2.8
"RUKWA","WILAYA YA MPANDA","MPANDA MAGHARIBI",1,65.2
"RUKWA","WILAYA YA MPANDA","MPANDA MASHARIKI",1,74.5
"RUKWA","WILAYA YA NKASI","NKASI",1,15.8
"RUKWA","WILAYA YA SUMBAWANGA","KALAMBO",1,56.6
"RUKWA","WILAYA YA SUMBAWANGA","KWELA",1,15.8
"RUVUMA","WILAYA YA MBINGA","MBINGA MAGHARIBI",1,87
"RUVUMA","WILAYA YA MBINGA","MBINGA MASHARIKI",1,81
"RUVUMA","WILAYA YA NAMTUMBO","NAMTUMBO",1,36.9
"RUVUMA","WILAYA YA SONGEA","PERAMIHO",1,90.1
"RUVUMA","WILAYA YA TUNDURU","TUNDURU",1,8.7
"SHINYANGA","MANISPAA YA SHINYANGA","SHINYANGA MJINI",1,22.3
"SHINYANGA","WILAYA YA BARIADI","BARIADI MAGHARIBI",1,7.5
"SHINYANGA","WILAYA YA BARIADI","BARIADI MASHARIKI",0,13
"SHINYANGA","WILAYA YA BUKOMBE","BUKOMBE",1,33.7
"SHINYANGA","WILAYA YA KAHAMA","KAHAMA",1,59.8
"SHINYANGA","WILAYA YA KAHAMA","MSALALA",1,70.6
"SHINYANGA","WILAYA YA KISHAPU","KISHAPU",1,73.2
"SHINYANGA","WILAYA YA MASWA","MASWA",1,14.5
"SHINYANGA","WILAYA YA MEATU","KISESA",1,12.5
"SHINYANGA","WILAYA YA MEATU","MEATU",1,21.4
"SHINYANGA","WILAYA YA SHINYANGA","SOLWA",1,41.7
"SINGIDA","MANISPAA YA SINGIDA","SINGIDA MJINI",1,86.3
"SINGIDA","WILAYA YA IRAMBA","IRAMBA MAGHARIBI",1,56.5
"SINGIDA","WILAYA YA IRAMBA","IRAMBA MASHARIKI",1,60
"SINGIDA","WILAYA YA MANYONI","MANYONI MAGHARIBI",1,84.6
"SINGIDA","WILAYA YA MANYONI","MANYONI MASHARIKI",1,88.9
"SINGIDA","WILAYA YA SINGIDA","SINGIDA KASKAZINI",1,90.1
"SINGIDA","WILAYA YA SINGIDA","SINGIDA KUSINI",1,71.2
"TABORA","MANISPAA YA TABORA","TABORA MJINI",1,40.9
"TABORA","WILAYA YA IGUNGA","IGUNGA",1,68.6
"TABORA","WILAYA YA NZEGA","BUKENE",1,53.3
"TABORA","WILAYA YA NZEGA","NZEGA",1,27.7
"TABORA","WILAYA YA SIKONGE","SIKONGE",1,45.9
"TABORA","WILAYA YA TABORA","IGALULA",1,27.2
"TABORA","WILAYA YA TABORA","TABORA KASKAZINI",1,44.5
"TABORA","WILAYA YA URAMBO","URAMBO MAGHARIBI",1,43.3
"TABORA","WILAYA YA URAMBO","URAMBO MASHARIKI",1,55.6
"TANGA","JIJI LA TANGA","TANGA MJINI",1,30.6
"TANGA","MJI WA KOROGWE","KOROGWE MJINI",1,35.2
"TANGA","WILAYA YA HANDENI","HANDENI",1,72.1
"TANGA","WILAYA YA KILINDI","KILINDI",1,74.4
"TANGA","WILAYA YA KOROGWE","KOROGWE VIJIJINI",1,71.3
"TANGA","WILAYA YA LUSHOTO","BUMBULI",1,72.8
"TANGA","WILAYA YA LUSHOTO","LUSHOTO",1,79.4
"TANGA","WILAYA YA LUSHOTO","MLALO",1,81.8
"TANGA","WILAYA YA MUHEZA","MKINGA",1,40
"TANGA","WILAYA YA MUHEZA","MUHEZA",1,72.5
"TANGA","WILAYA YA PANGANI","PANGANI",1,19.3
