REGMAP,DISMAP,REGPOL,DISTPOL
Mbeya,Mbeya (R),MBEYA,WILAYA YA MBEYA
Mbeya,Mbeya Urban,MBEYA,JIJI LA MBEYA
Mbeya,Mbozi,MBEYA,WILAYA YA MBOZI
Mbeya,Rungwe,MBEYA,WILAYA YA RUNGWE
Morogoro,Kilombero,MOROGORO,WILAYA YA KILOMBERO
Morogoro,Kilosa,MOROGORO,WILAYA YA KILOSA
Morogoro,Morogoro,MOROGORO,WILAYA YA MOROGORO
Morogoro,Morogoro Urban,MOROGORO,MANISPAA YA MOROGORO
Morogoro,Mvomero,MOROGORO,WILAYA YA MVOMERO
Morogoro,Ulanga,MOROGORO,WILAYA YA ULANGA
Mtwara,Masasi,MTWARA,WILAYA YA MASASI
Mtwara,Mtwara Rural,MTWARA,WILAYA YA MTWARA
Mtwara,Mtwara Urban,MTWARA,MANISPAA YA MTWARA MIKINDANI
Mtwara,Newala,MTWARA,WILAYA YA NEWALA
Mtwara,Tandahimba,MTWARA,WILAYA YA TANDAHIMBA
Mwanza,Geita,MWANZA,WILAYA YA GEITA
Mwanza,Kwimba,MWANZA,WILAYA YA KWIMBA
Mwanza,Nyamagana,MWANZA,JIJI LA MWANZA
Mwanza,Sengerema,MWANZA,WILAYA YA SENGEREMA
Mwanza,Ukerewe,MWANZA,WILAYA YA UKEREWE
Mwanza,Magu,MWANZA,WILAYA YA MAGU
Mwanza,Missungwi,MWANZA,WILAYA YA MISUNGWI
Mwanza,Ilemela,MWANZA,JIJI LA MWANZA
Pwani,Bagamoyo,PWANI,WILAYA YA BAGAMOYO
Pwani,Kibaha,PWANI,WILAYA YA KIBAHA
Pwani,Kisarawe,PWANI,WILAYA YA KISARAWE
Pwani,Mafia,PWANI,WILAYA YA MAFIA
Pwani,Mkuranga,PWANI,WILAYA YA MKURANGA
Pwani,Rufiji,PWANI,WILAYA YA RUFIJI
Rukwa,Mpanda,RUKWA,WILAYA YA MPANDA
Rukwa,Nkasi,RUKWA,WILAYA YA NKASI
Rukwa,Sumbawanga Rural,RUKWA,WILAYA YA SUMBAWANGA
Rukwa,Sumbawanga Urban,RUKWA,MANISPAA YA SUMBAWANGA
Ruvuma,Mbinga,RUVUMA,WILAYA YA MBINGA
Ruvuma,Namtumbo,RUVUMA,WILAYA YA NAMTUMBO
Ruvuma,Songea Rural,RUVUMA,WILAYA YA SONGEA
Ruvuma,Songea Urban,RUVUMA,MANISPAA YA SONGEA
Ruvuma,Tunduru,RUVUMA,WILAYA YA TUNDURU
Shinyanga,Bariadi,SHINYANGA,WILAYA YA BARIADI
Shinyanga,Bukombe,SHINYANGA,WILAYA YA BUKOMBE
Shinyanga,Kahama,SHINYANGA,WILAYA YA KAHAMA
Shinyanga,Kishapu,SHINYANGA,WILAYA YA KISHAPU
Shinyanga,Maswa,SHINYANGA,WILAYA YA MASWA
Shinyanga,Meatu,SHINYANGA,WILAYA YA MEATU
Shinyanga,Shinyanga Rural,SHINYANGA,WILAYA YA SHINYANGA
Shinyanga,Shinyanga Urban,SHINYANGA,MANISPAA YA SHINYANGA
Singida,Iramba,SINGIDA,WILAYA YA IRAMBA
Singida,Manyoni,SINGIDA,WILAYA YA MANYONI
Singida,Singida Rural,SINGIDA,WILAYA YA SINGIDA
Singida,Singida Urban,SINGIDA,MANISPAA YA SINGIDA
Tabora,Igunga,TABORA,WILAYA YA IGUNGA
Tabora,Nzega,TABORA,WILAYA YA NZEGA
Tabora,Sikonge,TABORA,WILAYA YA SIKONGE
Tabora,Tabora Urban,TABORA,MANISPAA YA TABORA
Tabora,Urambo,TABORA,WILAYA YA URAMBO
Tabora,Uyui,TABORA,WILAYA YA TABORA
Tanga,Handeni,TANGA,WILAYA YA HANDENI
Tanga,Kilindi,TANGA,WILAYA YA KILINDI
Tanga,Korogwe,TANGA,WILAYA YA KOROGWE
Tanga,Lushoto,TANGA,WILAYA YA LUSHOTO
Tanga,Muheza,TANGA,WILAYA YA MUHEZA
Tanga,Pangani,TANGA,WILAYA YA PANGANI
Tanga,Tanga,TANGA,JIJI LA TANGA
