"reg","dis"
"MARA","MANISPAA YA MUSOMA"
"MARA","WILAYA YA BUNDA"
"MARA","WILAYA YA MUSOMA"
"MARA","WILAYA YA RORYA"
"MARA","WILAYA YA SERENGETI"
"MARA","WILAYA YA TARIME"
"MBEYA","JIJI LA MBEYA"
"MBEYA","WILAYA YA CHUNYA"
"MBEYA","WILAYA YA ILEJE"
"MBEYA","WILAYA YA KYELA"
"MBEYA","WILAYA YA MBARALI"
"MBEYA","WILAYA YA MBEYA"
"MBEYA","WILAYA YA MBOZI"
"MBEYA","WILAYA YA RUNGWE"
"MOROGORO","MANISPAA YA MOROGORO"
"MOROGORO","WILAYA YA KILOMBERO"
"MOROGORO","WILAYA YA KILOSA"
"MOROGORO","WILAYA YA MOROGORO"
"MOROGORO","WILAYA YA MVOMERO"
"MOROGORO","WILAYA YA ULANGA"
"MTWARA","MANISPAA YA MTWARA MIKINDANI"
"MTWARA","WILAYA YA MASASI"
"MTWARA","WILAYA YA MTWARA"
"MTWARA","WILAYA YA NANYUMBU"
"MTWARA","WILAYA YA NEWALA"
"MTWARA","WILAYA YA TANDAHIMBA"
"MWANZA","JIJI LA MWANZA"
"MWANZA","WILAYA YA GEITA"
"MWANZA","WILAYA YA KWIMBA"
"MWANZA","WILAYA YA MAGU"
"MWANZA","WILAYA YA MISUNGWI"
"MWANZA","WILAYA YA SENGEREMA"
"MWANZA","WILAYA YA UKEREWE"
"PWANI","MJI WA KIBAHA"
"PWANI","WILAYA YA BAGAMOYO"
"PWANI","WILAYA YA KIBAHA"
"PWANI","WILAYA YA KISARAWE"
"PWANI","WILAYA YA MAFIA"
"PWANI","WILAYA YA MKURANGA"
"PWANI","WILAYA YA RUFIJI"
"RUKWA","MANISPAA YA SUMBAWANGA"
"RUKWA","MJI WA MPANDA"
"RUKWA","WILAYA YA MPANDA"
"RUKWA","WILAYA YA NKASI"
"RUKWA","WILAYA YA SUMBAWANGA"
"RUVUMA","MANISPAA YA SONGEA"
"RUVUMA","WILAYA YA MBINGA"
"RUVUMA","WILAYA YA NAMTUMBO"
"RUVUMA","WILAYA YA SONGEA"
"RUVUMA","WILAYA YA TUNDURU"
"SHINYANGA","MANISPAA YA SHINYANGA"
"SHINYANGA","WILAYA YA BARIADI"
"SHINYANGA","WILAYA YA BUKOMBE"
"SHINYANGA","WILAYA YA KAHAMA"
"SHINYANGA","WILAYA YA KISHAPU"
"SHINYANGA","WILAYA YA MASWA"
"SHINYANGA","WILAYA YA MEATU"
"SHINYANGA","WILAYA YA SHINYANGA"
"SINGIDA","MANISPAA YA SINGIDA"
"SINGIDA","WILAYA YA IRAMBA"
"SINGIDA","WILAYA YA MANYONI"
"SINGIDA","WILAYA YA SINGIDA"
"TABORA","MANISPAA YA TABORA"
"TABORA","WILAYA YA IGUNGA"
"TABORA","WILAYA YA NZEGA"
"TABORA","WILAYA YA SIKONGE"
"TABORA","WILAYA YA TABORA"
"TABORA","WILAYA YA URAMBO"
"TANGA","JIJI LA TANGA"
"TANGA","MJI WA KOROGWE"
"TANGA","WILAYA YA HANDENI"
"TANGA","WILAYA YA KILINDI"
"TANGA","WILAYA YA KOROGWE"
"TANGA","WILAYA YA LUSHOTO"
"TANGA","WILAYA YA MKINGA"
"TANGA","WILAYA YA MUHEZA"
"TANGA","WILAYA YA PANGANI"
